"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Hdac9" 1.01181822202442e-71 1.01334853052855 0.684 0.394 2.20535899672444e-67 "IM" "Hdac9"
"Gm16599" 1.31284093649593e-71 1.16438060515857 0.591 0.286 2.86146810518652e-67 "IM" "Gm16599"
"Itsn1" 1.72547006549624e-71 1.73725745763728 0.501 0.221 3.76083455475561e-67 "IM" "Itsn1"
"Prkn" 2.97829602089023e-71 -2.09852589927207 0.345 0.551 6.49149400713233e-67 "IM" "Prkn"
"Galnt3" 5.72492253940344e-71 -2.3558734846441 0.115 0.35 1.24780411668837e-66 "IM" "Galnt3"
"Cxcl16" 6.34338325681485e-71 1.79371026415547 0.39 0.115 1.38260381465536e-66 "IM" "Cxcl16"
"Lgals1" 7.2668872021837e-71 1.05779366097843 0.602 0.286 1.58389073458796e-66 "IM" "Lgals1"
"Tns1" 8.30906585569049e-71 -1.83188271243535 0.284 0.514 1.8110439939063e-66 "IM" "Tns1"
"Nuak1" 1.19862242951256e-70 2.48899765628791 0.305 0.061 2.61251744736558e-66 "IM" "Nuak1"
"Wwtr1" 1.2398275147676e-70 -2.73343698278653 0.08 0.3 2.70232805118745e-66 "IM" "Wwtr1"
"Sipa1l2" 1.8485372016087e-70 1.73417588328587 0.385 0.113 4.02907168462631e-66 "IM" "Sipa1l2"
"Cdc42ep3" 3.04918572587824e-70 -2.41949401666316 0.103 0.332 6.64600520812422e-66 "IM" "Cdc42ep3"
"Lrrk2" 5.96731203841466e-70 -1.94740201821618 0.179 0.424 1.30063533189286e-65 "IM" "Lrrk2"
"Col1a1" 7.76249615136068e-70 1.13952558279889 0.593 0.273 1.69191366115057e-65 "IM" "Col1a1"
"Adcy9" 8.47493390815426e-70 1.83130152475942 0.41 0.136 1.8471965946213e-65 "IM" "Adcy9"
"Ctsb" 2.20892254732062e-69 1.23625430795083 0.662 0.396 4.81456758414003e-65 "IM" "Ctsb"
"Camk1d" 1.43803673138324e-68 0.53859407077508 0.977 0.922 3.1343448597229e-64 "IM" "Camk1d"
"Hexb" 1.47329029420636e-68 1.11045660406253 0.64 0.349 3.21118352525218e-64 "IM" "Hexb"
"Hsp90ab1" 2.68038429642847e-68 1.1351869092568 0.635 0.333 5.84216561249549e-64 "IM" "Hsp90ab1"
"Il10rb" 2.71718807738174e-68 1.4218289457605 0.512 0.221 5.92238313346124e-64 "IM" "Il10rb"
"Ifnar1" 3.11989259154581e-68 1.45090020218135 0.45 0.162 6.80011789253325e-64 "IM" "Ifnar1"
