"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Ankrd12" 1.55817901482236e-17 -0.539487187038988 0.48 0.637 3.39620698070681e-13 "0" "Ankrd12"
"Atp6v1b2" 1.57115048300929e-17 -0.6445941356041 0.384 0.552 3.42447959276705e-13 "0" "Atp6v1b2"
"Rusc2" 1.96694915121212e-17 -0.745361370731448 0.138 0.278 4.28716236998193e-13 "0" "Rusc2"
"F630028O10Rik" 2.01957868935192e-17 0.700753612973515 0.477 0.333 4.40187371131144e-13 "0" "F630028O10Rik"
"Gcnt2" 2.1112109639961e-17 -0.939260489714779 0.13 0.264 4.60159541712591e-13 "0" "Gcnt2"
"Psap" 2.2733395338769e-17 -0.698652510037769 0.778 0.847 4.95497084803809e-13 "0" "Psap"
"Spred1" 2.28536927841461e-17 0.597880138350697 0.585 0.45 4.98119087923248e-13 "0" "Spred1"
"Arap3" 2.3821798184971e-17 1.38201674777647 0.246 0.13 5.19219913239627e-13 "0" "Arap3"
"Inpp4b" 2.38373585504529e-17 0.736404858086575 0.597 0.489 5.19559066965672e-13 "0" "Inpp4b"
"Dock8" 2.38468743196997e-17 0.378322138513818 0.894 0.874 5.19766472672174e-13 "0" "Dock8"
"Gm5150" 2.6791826703294e-17 1.38348597125494 0.26 0.14 5.83954654824997e-13 "0" "Gm5150"
"Ciita" 2.85675264768992e-17 0.44264816767245 0.435 0.267 6.22657807090496e-13 "0" "Ciita"
"Atp6v1c1" 2.93034814677562e-17 -0.823903166405126 0.208 0.364 6.38698682071214e-13 "0" "Atp6v1c1"
"Dnase1l1" 3.50514280009911e-17 -0.698555495875432 0.234 0.396 7.63980924709602e-13 "0" "Dnase1l1"
